_id,name,age,sex,martial_status,education,schooling_status,AADHAR_No,has_bank_acc,is_computer_literate,has_SSP,health_prob,has_MNREGA,SHG,occupations,__id,marital_status,crop_name,crop_area_prev_yr_acre,productivity_in_quintals_per_acre
6353e6c6e10045213e4835a9,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6353e6c3e10045213e4835a6,,,,
6353e6c6e10045213e4835aa,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6353e6c3e10045213e4835a6,,,,
6353e6c6e10045213e4835ab,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6353e6c3e10045213e4835a6,,,,
6353e6c6e10045213e4835ac,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6353e6c3e10045213e4835a6,,,,
6353f4ba5e34323ab1d52692,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6353f4ba5e34323ab1d5268f,,,,
6353f4ba5e34323ab1d52693,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6353f4ba5e34323ab1d5268f,,,,
6353f4ba5e34323ab1d52694,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6353f4ba5e34323ab1d5268f,,,,
6353f4ba5e34323ab1d52695,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6353f4ba5e34323ab1d5268f,,,,
6353fe814d4a09529d7c4602,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6353fe804d4a09529d7c45ff,,,,
6353fe814d4a09529d7c4603,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6353fe804d4a09529d7c45ff,,,,
6353fe814d4a09529d7c4604,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6353fe804d4a09529d7c45ff,,,,
6353fe814d4a09529d7c4605,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6353fe804d4a09529d7c45ff,,,,
63564101789e6aaf7f0ff8cf,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,63564100789e6aaf7f0ff8cc,,,,
63564101789e6aaf7f0ff8d0,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,63564100789e6aaf7f0ff8cc,,,,
63564101789e6aaf7f0ff8d1,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,63564100789e6aaf7f0ff8cc,,,,
63564101789e6aaf7f0ff8d2,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,63564100789e6aaf7f0ff8cc,,,,
6356841c6239429e9ec6122a,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6356841b6239429e9ec61227,,,,
6356841c6239429e9ec6122b,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6356841b6239429e9ec61227,,,,
6356841c6239429e9ec6122c,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6356841b6239429e9ec61227,,,,
6356841c6239429e9ec6122d,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6356841b6239429e9ec61227,,,,
635771f798da8b98bcddcc8d,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,635771f798da8b98bcddcc8a,,,,
635771f798da8b98bcddcc8e,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,635771f798da8b98bcddcc8a,,,,
635771f798da8b98bcddcc8f,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,635771f798da8b98bcddcc8a,,,,
635771f798da8b98bcddcc90,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,635771f798da8b98bcddcc8a,,,,
63578185541ca16808edefbe,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,63578184541ca16808edefbb,,,,
63578185541ca16808edefbf,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,63578184541ca16808edefbb,,,,
63578185541ca16808edefc0,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,63578184541ca16808edefbb,,,,
63578185541ca16808edefc1,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,63578184541ca16808edefbb,,,,
6357b81c267dfc8b5f2b8dbb,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357b81c267dfc8b5f2b8db8,,,,
6357b81c267dfc8b5f2b8dbc,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357b81c267dfc8b5f2b8db8,,,,
6357b81c267dfc8b5f2b8dbd,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357b81c267dfc8b5f2b8db8,,,,
6357b81c267dfc8b5f2b8dbe,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357b81c267dfc8b5f2b8db8,,,,
6357c46b4c76f4f25afe2d37,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357c46a4c76f4f25afe2d34,,,,
6357c46b4c76f4f25afe2d38,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357c46a4c76f4f25afe2d34,,,,
6357c46b4c76f4f25afe2d39,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357c46a4c76f4f25afe2d34,,,,
6357c46b4c76f4f25afe2d3a,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357c46a4c76f4f25afe2d34,,,,
6357c4b96a86421101b0aab9,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357c4b96a86421101b0aab6,,,,
6357c4b96a86421101b0aaba,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357c4b96a86421101b0aab6,,,,
6357c4b96a86421101b0aabb,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357c4b96a86421101b0aab6,,,,
6357c4b96a86421101b0aabc,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357c4b96a86421101b0aab6,,,,
6357c735492b489bfa3e124c,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357c734492b489bfa3e1249,,,,
6357c735492b489bfa3e124d,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357c734492b489bfa3e1249,,,,
6357c735492b489bfa3e124e,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357c734492b489bfa3e1249,,,,
6357c735492b489bfa3e124f,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357c734492b489bfa3e1249,,,,
6357ccdac36ac55f992f3ef3,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357ccd9c36ac55f992f3ef0,,,,
6357ccdac36ac55f992f3ef4,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357ccd9c36ac55f992f3ef0,,,,
6357ccdac36ac55f992f3ef5,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357ccd9c36ac55f992f3ef0,,,,
6357ccdac36ac55f992f3ef6,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357ccd9c36ac55f992f3ef0,,,,
6357cf6b5d2fedc5a584cf91,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357cf6a5d2fedc5a584cf8e,,,,
6357cf6b5d2fedc5a584cf92,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357cf6a5d2fedc5a584cf8e,,,,
6357cf6b5d2fedc5a584cf93,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357cf6a5d2fedc5a584cf8e,,,,
6357cf6b5d2fedc5a584cf94,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357cf6a5d2fedc5a584cf8e,,,,
6357cff95d2fedc5a584cfa1,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357cff95d2fedc5a584cf9e,,,,
6357cff95d2fedc5a584cfa2,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357cff95d2fedc5a584cf9e,,,,
6357cff95d2fedc5a584cfa3,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357cff95d2fedc5a584cf9e,,,,
6357cff95d2fedc5a584cfa4,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357cff95d2fedc5a584cf9e,,,,
6357d03bcd671b45d68ea657,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357d03bcd671b45d68ea654,,,,
6357d03bcd671b45d68ea658,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357d03bcd671b45d68ea654,,,,
6357d03bcd671b45d68ea659,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357d03bcd671b45d68ea654,,,,
6357d03bcd671b45d68ea65a,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357d03bcd671b45d68ea654,,,,
6357d096cdc1e4f4ae16ca43,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357d095cdc1e4f4ae16ca40,,,,
6357d096cdc1e4f4ae16ca44,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357d095cdc1e4f4ae16ca40,,,,
6357d096cdc1e4f4ae16ca45,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357d095cdc1e4f4ae16ca40,,,,
6357d096cdc1e4f4ae16ca46,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357d095cdc1e4f4ae16ca40,,,,
6357d0bccdc1e4f4ae16ca54,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357d0bccdc1e4f4ae16ca51,,,,
6357d0bccdc1e4f4ae16ca55,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357d0bccdc1e4f4ae16ca51,,,,
6357d0bccdc1e4f4ae16ca56,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357d0bccdc1e4f4ae16ca51,,,,
6357d0bccdc1e4f4ae16ca57,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357d0bccdc1e4f4ae16ca51,,,,
6357d0e8cdc1e4f4ae16ca65,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357d0e8cdc1e4f4ae16ca62,,,,
6357d0e8cdc1e4f4ae16ca66,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357d0e8cdc1e4f4ae16ca62,,,,
6357d0e8cdc1e4f4ae16ca67,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357d0e8cdc1e4f4ae16ca62,,,,
6357d0e8cdc1e4f4ae16ca68,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357d0e8cdc1e4f4ae16ca62,,,,
6357d10ae3cc3d0261f94674,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357d109e3cc3d0261f94671,,,,
6357d10ae3cc3d0261f94675,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357d109e3cc3d0261f94671,,,,
6357d10ae3cc3d0261f94676,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357d109e3cc3d0261f94671,,,,
6357d10ae3cc3d0261f94677,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357d109e3cc3d0261f94671,,,,
6357e60e5c9b36349ae33111,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357e60e5c9b36349ae3310e,,,,
6357e60e5c9b36349ae33112,Anmol,20.0,Male,U,College,3 year,2345,True,True,True,None,True,True,Student,6357e60e5c9b36349ae3310e,,,,
6357e60e5c9b36349ae33113,Hemanth,20.0,Male,U,College,3 year,3456,True,True,True,None,True,True,Student,6357e60e5c9b36349ae3310e,,,,
6357e60e5c9b36349ae33114,Gargi,20.0,Female,U,College,3 year,4567,True,True,True,None,True,True,Student,6357e60e5c9b36349ae3310e,,,,
6357edccd886876adaa3327f,Mayuresh,20.0,Male,U,College,3 year,1234,True,True,True,None,True,True,Student,6357edccd886876adaa3327c,,,,
